sample,from,to,sync_ms,clean_blk_s
2111,21119900,21119999,1402,71.3
2112,21129900,21129999,1290,77.5
2113,21139900,21139999,1484,67.3
2114,21149900,21149999,1427,70.0
2115,21159900,21159999,1233,81.1
2116,21169900,21169999,1284,77.8
2117,21179900,21179999,1322,75.6
2118,21189900,21189999,1465,68.2
2119,21199900,21199999,1463,68.3
2120,21209900,21209999,1351,74.0
2121,21219900,21219999,1383,72.3
2122,21229900,21229999,1300,76.9
2123,21239900,21239999,1490,67.1
2124,21249900,21249999,1260,79.3
2125,21259900,21259999,1424,70.2
2126,21269900,21269999,1369,73.0
2127,21279900,21279999,1482,67.4
2128,21289900,21289999,1299,76.9
2129,21299900,21299999,1419,70.4
2130,21309900,21309999,1419,70.4
2131,21319900,21319999,1356,73.7
2132,21329900,21329999,1382,72.3
2133,21339900,21339999,1429,69.9
2134,21349900,21349999,1400,71.4
2135,21359900,21359999,1319,75.8
2136,21369900,21369999,1557,64.2
2137,21379900,21379999,1268,78.8
2138,21389900,21389999,1514,66.0
2139,21399900,21399999,1398,71.5
2140,21409900,21409999,1377,72.6
2141,21419900,21419999,1294,77.2
2142,21429900,21429999,1296,77.1
2143,21439900,21439999,1369,73.0
2144,21449900,21449999,1465,68.2
2145,21459900,21459999,1384,72.2
2146,21469900,21469999,1590,62.8
2147,21479900,21479999,1314,76.1
2148,21489900,21489999,1461,68.4
2149,21499900,21499999,1371,72.9
2150,21509900,21509999,1495,66.8
2151,21519900,21519999,1451,68.9
2152,21529900,21529999,1202,83.1
2153,21539900,21539999,1391,71.8
2154,21549900,21549999,1414,70.7
2155,21559900,21559999,1356,73.7
2156,21569900,21569999,1449,69.0
2157,21579900,21579999,1318,75.8
2158,21589900,21589999,1407,71.0
2159,21599900,21599999,1514,66.0
2160,21609900,21609999,1395,71.6
2161,21619900,21619999,1383,72.3
2162,21629900,21629999,1461,68.4
2163,21639900,21639999,1358,73.6
2164,21649900,21649999,1378,72.5
