sid,from,to,ms,blk_s,rc
173,17300000,17300099,2454,40.75,0
174,17400000,17400099,2518,39.71,0
175,17500000,17500099,2264,44.17,0
176,17600000,17600099,2047,48.85,0
177,17700000,17700099,2347,42.61,0
178,17800000,17800099,2156,46.38,0
179,17900000,17900099,2456,40.72,0
180,18000000,18000099,2254,44.37,0
181,18100000,18100099,2224,44.96,0
182,18200000,18200099,2051,48.76,0
183,18300000,18300099,2178,45.91,0
184,18400000,18400099,2408,41.53,0
185,18500000,18500099,2362,42.34,0
186,18600000,18600099,2154,46.43,0
187,18700000,18700099,2638,37.91,0
188,18800000,18800099,2398,41.7,0
189,18900000,18900099,2559,39.08,0
190,19000000,19000099,2348,42.59,0
191,19100000,19100099,2562,39.03,0
192,19200000,19200099,2207,45.31,0
193,19300000,19300099,2581,38.74,0
194,19400000,19400099,2600,38.46,0
195,19500000,19500099,2847,35.12,0
196,19600000,19600099,2730,36.63,0
197,19700000,19700099,2880,34.72,0
198,19800000,19800099,2660,37.59,0
199,19900000,19900099,2429,41.17,0
200,20000000,20000099,2385,41.93,0
201,20100000,20100099,2519,39.7,0
202,20200000,20200099,2576,38.82,0
203,20300000,20300099,2724,36.71,0
204,20400000,20400099,2521,39.67,0
205,20500000,20500099,2349,42.57,0
206,20600000,20600099,2641,37.86,0
207,20700000,20700099,2587,38.65,0
208,20800000,20800099,2615,38.24,0
209,20900000,20900099,2616,38.23,0
210,21000000,21000099,2244,44.56,0
211,21100000,21100099,2906,34.41,0
212,21200000,21200099,2717,36.81,0
213,21300000,21300099,2990,33.44,0
214,21400000,21400099,2779,35.98,0
215,21500000,21500099,2758,36.26,0
216,21600000,21600099,3039,32.91,0
217,21700000,21700099,3002,33.31,0
218,21800000,21800099,2798,35.74,0
219,21900000,21900099,2557,39.11,0
220,22000000,22000099,2564,39.0,0
221,22100000,22100099,2551,39.2,0
222,22200000,22200099,2493,40.11,0
223,22300000,22300099,2731,36.62,0
224,22400000,22400099,2947,33.93,0
225,22500000,22500099,3257,30.7,0
226,22600000,22600099,3264,30.64,0
227,22700000,22700099,2929,34.14,0
228,22800000,22800099,2799,35.73,0
229,22900000,22900099,3900,25.64,0
230,23000000,23000099,3406,29.36,0
231,23100000,23100099,3164,31.61,0
232,23200000,23200099,4146,24.12,0
233,23300000,23300099,3819,26.18,0
234,23400000,23400099,3675,27.21,0
235,23500000,23500099,3673,27.23,0
236,23600000,23600099,3835,26.08,0
237,23700000,23700099,3795,26.35,0
238,23800000,23800099,4003,24.98,0
239,23900000,23900099,4517,22.14,0
240,24000000,24000099,5038,19.85,0
241,24100000,24100099,4585,21.81,0
242,24200000,24200099,4210,23.75,0
243,24300000,24300099,4125,24.24,0
244,24400000,24400099,4841,20.66,0
245,24500000,24500099,4499,22.23,0
246,24600000,24600099,4814,20.77,0
247,24700000,24700099,4554,21.96,0
248,24800000,24800099,3923,25.49,0
249,24900000,24900099,5040,19.84,0
250,25000000,25000099,4112,24.32,0
251,25100000,25100099,4786,20.89,0
