sid,from,to,ms,blk_s,rc
173,17300000,17300099,2356,42.44,0
174,17400000,17400099,2516,39.75,0
175,17500000,17500099,2268,44.09,0
176,17600000,17600099,2050,48.78,0
177,17700000,17700099,2377,42.07,0
178,17800000,17800099,2178,45.91,0
179,17900000,17900099,2343,42.68,0
180,18000000,18000099,2216,45.13,0
181,18100000,18100099,2180,45.87,0
182,18200000,18200099,2078,48.12,0
183,18300000,18300099,2145,46.62,0
184,18400000,18400099,2397,41.72,0
185,18500000,18500099,2383,41.96,0
186,18600000,18600099,2179,45.89,0
187,18700000,18700099,2662,37.57,0
188,18800000,18800099,2342,42.7,0
189,18900000,18900099,2603,38.42,0
190,19000000,19000099,2289,43.69,0
191,19100000,19100099,2692,37.15,0
192,19200000,19200099,2149,46.53,0
193,19300000,19300099,2661,37.58,0
194,19400000,19400099,2594,38.55,0
195,19500000,19500099,2813,35.55,0
196,19600000,19600099,2701,37.02,0
197,19700000,19700099,2945,33.96,0
198,19800000,19800099,2664,37.54,0
199,19900000,19900099,2498,40.03,0
200,20000000,20000099,2443,40.93,0
201,20100000,20100099,2458,40.68,0
202,20200000,20200099,2535,39.45,0
203,20300000,20300099,2775,36.04,0
204,20400000,20400099,2511,39.82,0
205,20500000,20500099,2347,42.61,0
206,20600000,20600099,2671,37.44,0
207,20700000,20700099,2642,37.85,0
208,20800000,20800099,2592,38.58,0
209,20900000,20900099,2647,37.78,0
210,21000000,21000099,2193,45.6,0
211,21100000,21100099,2806,35.64,0
212,21200000,21200099,2633,37.98,0
213,21300000,21300099,2991,33.43,0
214,21400000,21400099,2717,36.81,0
215,21500000,21500099,2805,35.65,0
216,21600000,21600099,3021,33.1,0
217,21700000,21700099,3113,32.12,0
218,21800000,21800099,2733,36.59,0
219,21900000,21900099,2527,39.57,0
220,22000000,22000099,2465,40.57,0
221,22100000,22100099,2548,39.25,0
222,22200000,22200099,2534,39.46,0
223,22300000,22300099,2791,35.83,0
224,22400000,22400099,3041,32.88,0
225,22500000,22500099,3311,30.2,0
226,22600000,22600099,3205,31.2,0
227,22700000,22700099,2979,33.57,0
228,22800000,22800099,2749,36.38,0
229,22900000,22900099,3988,25.08,0
230,23000000,23000099,3373,29.65,0
231,23100000,23100099,3349,29.86,0
232,23200000,23200099,4177,23.94,0
233,23300000,23300099,3747,26.69,0
234,23400000,23400099,3683,27.15,0
235,23500000,23500099,3473,28.79,0
236,23600000,23600099,3741,26.73,0
237,23700000,23700099,3775,26.49,0
238,23800000,23800099,3869,25.85,0
239,23900000,23900099,4576,21.85,0
240,24000000,24000099,4942,20.23,0
241,24100000,24100099,4520,22.12,0
242,24200000,24200099,4405,22.7,0
243,24300000,24300099,4039,24.76,0
244,24400000,24400099,4909,20.37,0
245,24500000,24500099,4548,21.99,0
246,24600000,24600099,4929,20.29,0
247,24700000,24700099,4586,21.81,0
248,24800000,24800099,3894,25.68,0
249,24900000,24900099,4872,20.53,0
250,25000000,25000099,4085,24.48,0
251,25100000,25100099,4595,21.76,0
