sid,from,to,ms,blk_s,rc
173,17300000,17300099,3663,27.3,0
174,17400000,17400099,3706,26.98,0
175,17500000,17500099,2883,34.69,0
176,17600000,17600099,3455,28.94,0
177,17700000,17700099,3887,25.73,0
178,17800000,17800099,3599,27.79,0
179,17900000,17900099,3584,27.9,0
180,18000000,18000099,3495,28.61,0
181,18100000,18100099,3533,28.3,0
182,18200000,18200099,3573,27.99,0
183,18300000,18300099,3573,27.99,0
184,18400000,18400099,3562,28.07,0
185,18500000,18500099,3654,27.37,0
186,18600000,18600099,3860,25.91,0
187,18700000,18700099,3837,26.06,0
188,18800000,18800099,3703,27.01,0
189,18900000,18900099,3180,31.45,0
190,19000000,19000099,3544,28.22,0
191,19100000,19100099,4497,22.24,0
192,19200000,19200099,3849,25.98,0
193,19300000,19300099,4231,23.64,0
194,19400000,19400099,3581,27.93,0
195,19500000,19500099,4367,22.9,0
196,19600000,19600099,4345,23.01,0
197,19700000,19700099,4321,23.14,0
198,19800000,19800099,4461,22.42,0
199,19900000,19900099,3335,29.99,0
200,20000000,20000099,3569,28.02,0
201,20100000,20100099,3054,32.74,0
202,20200000,20200099,1749,57.18,0
203,20300000,20300099,1965,50.89,0
204,20400000,20400099,1750,57.14,0
205,20500000,20500099,2544,39.31,0
206,20600000,20600099,2490,40.16,0
207,20700000,20700099,2403,41.61,0
208,20800000,20800099,2335,42.83,0
209,20900000,20900099,2336,42.81,0
210,21000000,21000099,2292,43.63,0
211,21100000,21100099,3015,33.17,0
212,21200000,21200099,2494,40.1,0
213,21300000,21300099,2789,35.86,0
214,21400000,21400099,2885,34.66,0
215,21500000,21500099,3073,32.54,0
216,21600000,21600099,3107,32.19,0
217,21700000,21700099,3637,27.5,0
218,21800000,21800099,3044,32.85,0
219,21900000,21900099,2475,40.4,0
220,22000000,22000099,3019,33.12,0
221,22100000,22100099,2747,36.4,0
222,22200000,22200099,3044,32.85,0
223,22300000,22300099,3259,30.68,0
224,22400000,22400099,3880,25.77,0
225,22500000,22500099,3433,29.13,0
226,22600000,22600099,3795,26.35,0
227,22700000,22700099,2576,38.82,0
228,22800000,22800099,3905,25.61,0
229,22900000,22900099,5130,19.49,0
230,23000000,23000099,4189,23.87,0
231,23100000,23100099,3601,27.77,0
232,23200000,23200099,4225,23.67,0
233,23300000,23300099,4450,22.47,0
234,23400000,23400099,3657,27.34,0
235,23500000,23500099,4935,20.26,0
236,23600000,23600099,4415,22.65,0
237,23700000,23700099,4490,22.27,0
238,23800000,23800099,4474,22.35,0
239,23900000,23900099,5295,18.89,0
240,24000000,24000099,4813,20.78,0
241,24100000,24100099,4348,23.0,0
242,24200000,24200099,5072,19.72,0
243,24300000,24300099,4736,21.11,0
244,24400000,24400099,5405,18.5,0
245,24500000,24500099,5161,19.38,0
246,24600000,24600099,5494,18.2,0
247,24700000,24700099,5601,17.85,0
248,24800000,24800099,4483,22.31,0
249,24900000,24900099,4228,23.65,0
250,25000000,25000099,4744,21.08,0
251,25100000,25100099,5763,17.35,0
